,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
1411,DuPage County 8426.03,17043842603,2720670,3748,89.25,4.67,2840,2003,98.65,1.35,1314,22.75,77.25,1.56,98.44,17.86,91.43,16.28,16.36,67.34,17.82,41.44,73.9
1412,DuPage County 8426.04,17043842604,3300819,4321,82.87,4.26,3300,1920,95.68,4.32,1980,45.66,54.34,1.41,98.59,39.87,83.47,27.32,20.9,51.76,20.549999999999997,45.76,82.8
1413,DuPage County 8426.05,17043842605,2215849,3834,89.25,5.01,2624,2111,98.67,1.33,1504,23.01,76.99,0.57,99.43,20.53,86.7,16.95,14.639999999999999,68.42,11.700000000000001,63.87,81.8
1414,DuPage County 8427.02,17043842702,2231475,4514,85.18,3.61,3132,2769,96.42,3.58,1925,18.44,81.56,5.29,94.71,19.14,84.99,19.22,20.98,59.800000000000004,13.6,53.989999999999995,80.1
1415,DuPage County 8427.03,17043842703,1838224,4162,86.71,0.82,2694,2154,94.89,5.11,1428,24.51,75.49,1.2,98.8,21.62,87.48,9.8,17.85,72.33,8.68,72.39,80.6
1416,DuPage County 8427.04,17043842704,2267441,5549,66.93,8.34,3930,3117,96.79,3.21,2149,24.01,75.99,10.25,89.75,31.38,67.51,18.88,31.270000000000003,49.839999999999996,30.28,39.620000000000005,81.2
1417,DuPage County 8427.06,17043842706,7727233,4667,79.82,1.07,3398,2831,94.77,5.23,1789,25.82,74.18,2.89,97.11,23.74,87.08,10.3,15.260000000000002,74.45,17.3,58.300000000000004,84.2
1418,DuPage County 8427.08,17043842708,2441548,2486,82.66,0.48,1731,1289,99.61,0.39,881,33.83,66.17,1.53,98.47,24.77,87.9,8.64,9.88,81.51,10.46,63.379999999999995,81.8
1419,DuPage County 8427.09,17043842709,2415990,3657,75.91,2.21,2329,2172,97.1,2.9,1184,26.18,73.82,2.87,97.13,23.38,83.73,9.459999999999999,21.970000000000002,68.58,21.43,44.4,83.5
1420,DuPage County 8427.10,17043842710,3552590,3480,79.66,7.87,2332,1999,96.1,3.9,1611,32.84,67.16,7.33,92.67,23.82,82.61,26.45,29.060000000000002,44.510000000000005,25.39,44.43,82.9
