,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
2176,Morgan County 9521.00,17137952100,24577320,3372,93.77,1.6,2369,1628,98.4,1.6,1579,36.67,63.33,0.54,99.46,39.68,74.06,42.44,22.549999999999997,35.010000000000005,40.86,26.21,80.1
2177,Morgan County 9522.00,17137952200,368661210,3215,96.39,1.68,2410,1654,96.92,3.08,1327,37.83,62.17,4.53,95.47,35.65,75.93,30.060000000000002,27.95,41.980000000000004,50.87,21.08,80.1
2178,Morgan County 9523.00,17137952300,308805938,3275,97.13,0.52,2212,1576,96.57,3.43,1267,35.91,64.09,3.95,96.05,41.69,70.55,28.87,32.83,38.28,50.77,18.799999999999997,78.3
2179,Moultrie County 9769.00,17139976900,398648159,4807,98.13,0.27,3183,2233,98.84,1.16,1891,36.75,63.25,33.67,66.33,26.41,53.21,21.84,27.19,50.98,54.66,16.470000000000002,78.3
2180,Moultrie County 9770.00,17139977000,256561800,2562,95.04,1.72,1723,1306,95.87,4.13,1171,32.79,67.21,3.24,96.76,33.53,74.98,40.66,34.67,24.679999999999996,57.11,14.16,76.4
2181,Moultrie County 9771.00,17139977100,208035306,3073,99.32,0.0,2128,1471,97.69,2.31,1244,40.68,59.32,3.81,96.19,30.0,78.2,27.57,25.310000000000002,47.1,35.660000000000004,28.849999999999998,79.1
2182,Moultrie County 9772.00,17139977200,6882104,4115,96.33,1.56,2783,1991,94.73,5.27,1737,34.48,65.52,6.33,93.67,39.99,69.53,32.36,29.82,37.830000000000005,46.349999999999994,20.7,76.8
2183,Ogle County 9607.00,17141960700,198062651,4327,93.71,0.62,3100,2331,97.73,2.27,1597,28.62,71.38,3.24,96.76,22.26,87.1,18.339999999999996,24.61,57.04,28.939999999999998,36.75,79.6
2184,Ogle County 9608.00,17141960800,375533798,3506,95.24,1.23,2564,1594,98.56,1.44,1416,36.94,63.06,1.94,98.06,42.01,68.68,26.990000000000002,39.4,33.63,52.19,12.52,80.2
2185,Ogle County 9609.00,17141960900,126425569,4384,94.62,1.67,3332,1989,96.03,3.97,2205,41.36,58.64,4.95,95.05,46.15,70.0,41.18,29.29,29.52,46.15,17.25,76.8
2186,Ogle County 9611.00,17141961100,98957302,3789,90.95,1.5,2547,2209,86.46,13.54,1661,33.41,66.59,5.8,94.2,34.26,72.35,46.05,21.55,32.39000000000001,39.42,20.22,80.5
2187,Ogle County 9612.00,17141961200,64145098,6764,90.61,0.34,4419,3820,90.18,9.82,2588,27.01,72.99,6.09,93.91,29.78,82.23,24.0,30.560000000000002,45.43,45.989999999999995,21.07,83.0
2188,Ogle County 9614.00,17141961400,21427310,4224,96.92,0.45,3117,1893,94.35,5.65,1959,43.19,56.81,2.71,97.29,46.68,68.49,34.98,36.04,28.990000000000002,51.53,20.279999999999998,77.2
2189,Ogle County 9615.00,17141961500,278813535,4382,93.06,2.53,3081,2238,92.85,7.15,1845,31.65,68.35,6.37,93.63,39.79,69.47,29.81,35.18,35.02,48.92,18.54,77.4
2190,Ogle County 9616.00,17141961600,30227232,3232,75.09,2.75,2253,1839,92.01,7.99,1394,31.85,68.15,7.95,92.05,35.3,69.43,38.86,35.66,25.46,59.65,9.23,75.6
2191,Ogle County 9617.00,17141961700,36321376,4712,93.8,0.0,3121,2624,97.18,2.82,1908,26.99,73.01,1.04,98.96,26.38,83.09,27.249999999999996,29.240000000000002,43.51,31.169999999999998,29.7,78.4
2192,Peoria County 0002.00,17143000200,971324,1927,27.09,64.76,1207,838,75.54,24.46,645,27.13,72.87,11.52,88.48,66.17,31.34,59.7,30.080000000000002,10.23,64.46000000000001,1.58,68.2
2193,Peoria County 0003.00,17143000300,990420,1640,51.1,37.38,1085,666,85.14,14.86,547,42.78,57.22,12.68,87.32,65.12,30.61,62.72,26.69,10.61,75.57,2.76,69.4
2194,Peoria County 0006.00,17143000600,2208494,2813,41.73,53.39,1714,1171,85.14,14.86,1194,31.74,68.26,6.97,93.03,62.59,43.87,55.45,32.839999999999996,11.73,57.64,14.0,74.3
2195,Peoria County 0009.00,17143000900,2063713,2789,25.24,73.9,1586,1026,78.36,21.64,1274,26.3,73.7,7.35,92.65,70.71,28.54,76.28999999999999,16.18,7.529999999999999,63.75,5.8,73.5
2196,Peoria County 0012.00,17143001200,1431946,1516,42.68,39.64,1053,617,81.2,18.8,723,18.67,81.33,10.38,89.62,65.86,31.51,69.69999999999999,17.42,12.860000000000001,39.989999999999995,19.09,74.1
2197,Peoria County 0013.00,17143001300,1260722,2139,40.58,55.17,1434,685,77.96,22.04,784,44.01,55.99,17.47,82.53,63.07,22.96,81.88,12.89,5.23,72.53,10.18,71.8
2198,Peoria County 0015.00,17143001500,2165703,1652,53.69,36.38,1098,785,72.99,27.01,696,20.55,79.45,11.74,88.26,65.38,28.87,75.29,15.24,9.48,54.1,7.65,72.3
2199,Peoria County 0016.00,17143001600,2164901,4020,38.73,42.41,2256,1804,77.49,22.51,1481,25.25,74.75,17.51,82.49,62.56,31.99,68.34,18.64,13.04,60.64,7.94,69.5
2200,Peoria County 0018.00,17143001800,1328548,3088,56.93,31.25,1514,1606,88.29,11.71,1232,27.84,72.16,9.2,90.8,46.83,49.71,57.300000000000004,25.72,16.98,40.09,28.14,73.5
2201,Peoria County 0019.00,17143001900,689245,1695,79.17,11.98,554,930,92.04,7.96,541,13.49,86.51,12.54,87.46,12.72,79.05,46.78,23.1,30.130000000000003,22.93,43.68,80.7
2202,Peoria County 0020.00,17143002000,1285173,3051,82.27,10.0,776,1594,95.8,4.2,493,20.49,79.51,3.87,96.13,8.26,91.54,27.590000000000003,15.829999999999998,56.58,11.6,55.53,79.7
2203,Peoria County 0021.00,17143002100,2913941,4266,41.89,51.13,2879,2197,89.26,10.74,1714,33.66,66.34,5.82,94.18,53.43,50.42,47.84,32.03,20.13,57.27,9.270000000000001,77.1
2204,Peoria County 0022.00,17143002200,1820974,3842,54.53,39.28,2647,2121,92.36,7.64,1674,28.55,71.45,4.89,95.11,43.9,60.05,32.550000000000004,44.33,23.12,36.23,28.250000000000004,75.2
2205,Peoria County 0023.00,17143002300,3273072,4840,79.5,7.69,3508,2465,94.85,5.15,2254,31.37,68.63,3.29,96.71,34.62,75.51,40.510000000000005,19.65,39.839999999999996,20.33,44.99,78.5
2206,Peoria County 0024.00,17143002400,2029561,4090,63.35,24.08,2942,2299,87.99,12.01,2044,35.23,64.77,5.87,94.13,38.56,70.61,42.13,34.15,23.740000000000002,35.620000000000005,31.820000000000004,76.7
2207,Peoria County 0025.00,17143002500,1566471,3594,28.3,55.26,1950,1746,73.37,26.63,1227,15.97,84.03,11.35,88.65,51.22,43.63,36.6,30.729999999999997,32.68,50.92,4.3,74.8
2208,Peoria County 0026.00,17143002600,4061518,1530,89.15,2.75,1217,837,96.77,3.23,735,26.67,73.33,8.27,91.73,42.32,66.14,36.06,30.749999999999996,33.19,38.05,26.13,77.9
2209,Peoria County 0027.01,17143002701,3027351,3331,43.89,40.29,2227,1684,89.49,10.51,1469,30.57,69.43,4.02,95.98,39.48,74.66,36.08,38.730000000000004,25.189999999999998,33.86,24.87,80.8
2210,Peoria County 0027.02,17143002702,2804404,3890,68.23,20.28,3244,1646,91.19,8.81,1683,38.09,61.91,10.22,89.78,42.56,63.97,42.54,30.299999999999997,27.16,32.0,30.79,72.3
2211,Peoria County 0028.00,17143002800,4461802,3438,70.1,24.23,2483,1705,96.54,3.46,1643,27.51,72.49,4.39,95.61,33.92,77.25,37.42999999999999,27.57,35.0,28.31,28.95,81.7
2212,Peoria County 0029.00,17143002900,4529162,3542,79.84,12.48,2617,1769,95.59,4.41,1671,37.52,62.48,6.17,93.83,44.01,70.23,31.96,29.270000000000003,38.769999999999996,31.34,35.46,75.7
2213,Peoria County 0030.00,17143003000,4328087,5316,72.22,14.18,3694,2675,91.85,8.15,2065,33.75,66.25,8.33,91.67,29.09,76.31,30.169999999999995,28.04,41.8,23.9,35.17,77.4
2214,Peoria County 0031.01,17143003101,6108740,5151,62.18,21.78,3435,2422,96.33,3.67,2058,27.5,72.5,3.22,96.78,40.44,70.37,29.58,29.199999999999996,41.21,26.35,44.92,82.3
2215,Peoria County 0032.00,17143003200,3192142,4414,64.52,12.6,3153,2488,88.75,11.25,2203,31.23,68.77,6.11,93.89,30.67,78.17,38.269999999999996,29.049999999999997,32.68,33.08,38.78,79.4
2216,Peoria County 0033.00,17143003300,7246099,2973,91.93,1.48,2451,1073,98.7,1.3,1437,64.58,35.42,0.57,99.43,49.66,80.1,33.129999999999995,17.830000000000002,49.05,19.099999999999998,45.21,81.0
2217,Peoria County 0034.02,17143003402,22882806,4313,92.81,3.45,3129,2012,98.76,1.24,1678,36.17,63.83,2.3,97.7,21.35,89.64,17.63,19.91,62.44,15.85,51.300000000000004,82.3
2218,Peoria County 0036.01,17143003601,13200530,2488,98.87,0.0,1737,1087,98.16,1.84,953,40.5,59.5,1.68,98.32,28.64,86.33,32.0,31.580000000000002,36.4,41.56,17.96,77.1
2219,Peoria County 0036.02,17143003602,15487397,5601,92.52,0.77,4039,2761,95.55,4.45,2437,38.37,61.63,9.11,90.89,41.55,68.02,39.1,25.18,35.7,44.22,25.11,78.7
2220,Peoria County 0037.00,17143003700,155779720,3441,97.59,0.0,2391,1672,95.16,4.84,1224,39.46,60.54,1.75,98.25,35.75,83.39,16.18,21.98,61.849999999999994,26.14,36.050000000000004,80.5
2221,Peoria County 0038.00,17143003800,290937777,3229,95.54,0.15,2273,1456,87.77,12.23,1217,49.3,50.7,11.61,88.39,34.93,66.24,34.27,33.269999999999996,32.459999999999994,51.96,17.87,83.2
2222,Peoria County 0039.00,17143003900,278679274,7606,76.1,2.51,4655,3647,97.2,2.8,2457,22.87,77.13,3.59,96.41,16.12,89.63,15.42,15.8,68.78999999999999,18.17,48.23,80.2
2223,Peoria County 0040.00,17143004000,239534713,4572,98.16,0.0,3088,2150,96.88,3.12,1693,36.74,63.26,2.82,97.18,31.3,82.55,26.520000000000003,25.22,48.260000000000005,42.129999999999995,27.790000000000003,79.0
2224,Peoria County 0041.01,17143004101,69908039,6704,75.69,8.16,4498,3124,96.29,3.71,2559,30.72,69.28,3.66,96.34,28.11,82.22,19.85,15.39,64.75999999999999,19.12,44.81,81.4
2225,Peoria County 0041.02,17143004102,6822302,2836,60.26,31.1,2314,1238,89.66,10.34,1272,36.24,63.76,2.93,97.07,47.69,59.96,52.120000000000005,31.36,16.509999999999998,50.08,19.84,75.9
2226,Peoria County 0042.00,17143004200,4809113,3642,89.18,4.83,2750,2044,96.53,3.47,1757,30.05,69.95,6.73,93.27,24.36,80.32,34.550000000000004,35.63,29.819999999999997,26.4,31.97,71.5
2227,Peoria County 0043.00,17143004300,1614340,2118,89.0,3.26,1393,1048,89.98,10.02,977,27.74,72.26,8.26,91.74,50.85,52.12,51.57,30.1,18.32,36.54,19.82,73.8
2228,Peoria County 0044.00,17143004400,3245008,4904,61.64,28.26,3188,2232,97.04,2.96,1931,24.13,75.87,5.22,94.78,44.86,64.81,42.51,36.35,21.129999999999995,37.36,14.049999999999999,78.2
2229,Peoria County 0045.00,17143004500,31174962,4944,85.58,9.36,3433,2298,96.34,3.66,1804,40.24,59.76,7.56,92.44,40.96,65.73,35.089999999999996,29.269999999999996,35.64000000000001,49.290000000000006,13.6,75.3
2230,Peoria County 0046.00,17143004600,20934388,5262,95.97,0.99,3543,2798,96.21,3.79,2116,31.47,68.53,7.31,92.69,30.5,75.79,27.74,39.57,32.72,43.519999999999996,21.189999999999998,78.8
2231,Peoria County 0048.01,17143004801,42755575,4902,96.43,0.43,3483,2353,96.13,3.87,1928,37.4,62.6,2.26,97.74,34.13,81.93,23.290000000000003,21.89,54.81999999999999,37.44,19.81,81.7
2232,Peoria County 0048.02,17143004802,7823086,4350,92.3,3.93,3110,2095,93.37,6.63,1689,40.08,59.92,6.33,93.67,46.1,66.87,33.809999999999995,32.620000000000005,33.56,50.55,9.419999999999998,76.3
2233,Peoria County 0049.01,17143004901,139061529,3785,99.52,0.05,2582,1914,97.07,2.93,1361,31.74,68.26,3.04,96.96,40.79,70.08,26.54,29.97,43.5,45.43,17.540000000000003,78.2
2234,Peoria County 0049.02,17143004902,144364387,4476,98.68,0.0,3172,2206,97.1,2.9,1840,41.68,58.32,4.18,95.82,30.83,83.41,19.35,28.48,52.160000000000004,41.64,22.82,78.8
2235,Peoria County 0050.00,17143005000,1394989,2083,10.27,82.19,1418,733,73.26,26.74,949,57.43,42.57,13.73,86.27,65.63,34.95,66.7,29.499999999999996,3.8,66.85,3.66,67.6
2236,Perry County 0301.00,17145030100,412699893,2837,97.85,0.32,2040,1429,95.45,4.55,1270,41.42,58.58,3.98,96.02,42.62,75.29,32.05,32.129999999999995,35.82,50.39,11.280000000000001,75.8
2237,Perry County 0302.00,17145030200,147609041,7633,77.18,19.69,6102,2217,95.67,4.33,2577,43.34,56.66,4.6,95.4,55.49,63.83,47.07,22.85,30.07,61.31,8.82,79.8
2238,Perry County 0303.00,17145030300,370589061,2124,96.94,0.09,1391,1014,95.56,4.44,837,37.04,62.96,2.17,97.83,43.26,73.7,26.77,30.59,42.650000000000006,44.21,11.14,81.9
2239,Perry County 0304.00,17145030400,60684869,2407,92.31,2.24,1596,1054,90.04,9.96,1020,34.71,65.29,5.82,94.18,49.65,54.76,44.61,28.040000000000003,27.36,56.32,7.58,72.7
2240,Perry County 0305.00,17145030500,145910950,2298,88.6,6.4,1638,1090,95.69,4.31,988,38.26,61.74,3.51,96.49,41.43,83.23,24.1,33.29,42.620000000000005,43.59,22.099999999999998,77.2
2241,Perry County 0306.00,17145030600,7093469,3793,91.51,2.32,2497,1620,92.35,7.65,1812,37.2,62.8,2.04,97.96,56.04,55.74,47.629999999999995,27.590000000000003,24.78,47.65,13.97,76.3
2242,Piatt County 9545.00,17147954500,434720059,4310,98.17,0.88,3086,2477,96.61,3.39,1746,31.56,68.44,3.27,96.73,23.94,85.92,17.18,25.660000000000004,57.15,35.22,31.92,79.7
2243,Piatt County 9546.00,17147954600,65356559,6266,94.81,1.58,4411,3170,96.81,3.19,2640,38.03,61.97,1.95,98.05,35.8,78.93,24.549999999999997,23.6,51.86,33.1,37.970000000000006,81.8
2244,Piatt County 9547.00,17147954700,299016986,3042,97.6,1.41,2218,1557,96.4,3.6,1294,33.85,66.15,8.7,91.3,29.9,74.8,33.85,30.609999999999996,35.55,52.71,13.17,77.7
2245,Piatt County 9548.00,17147954800,338398485,2794,97.92,0.04,1864,1343,94.19,5.81,1075,38.42,61.58,3.99,96.01,29.99,82.83,23.240000000000002,30.040000000000003,46.7,45.650000000000006,20.49,79.1
2246,Pike County 9524.00,17149952400,598242409,3302,93.61,0.24,2392,1595,92.48,7.52,1402,40.87,59.13,7.13,92.87,49.95,56.99,43.160000000000004,28.46,28.380000000000003,52.42,14.26,81.1
2247,Pike County 9525.00,17149952500,326697447,2757,98.33,0.0,1875,1349,94.66,5.34,1088,37.78,62.22,8.12,91.88,44.03,59.04,39.25,33.45,27.299999999999997,52.269999999999996,12.799999999999999,78.1
2248,Pike County 9526.00,17149952600,658187795,3094,98.19,0.19,1957,1498,96.13,3.87,1105,35.38,64.62,7.47,92.53,41.4,69.36,36.55,27.68,35.74,51.459999999999994,17.060000000000002,77.7
2249,Pike County 9527.00,17149952700,29109225,4337,95.92,2.63,3181,1847,94.75,5.25,1875,37.55,62.45,3.05,96.95,43.93,68.82,50.99,19.52,29.490000000000002,47.19,14.870000000000001,77.2
2250,Pike County 9528.00,17149952800,540953848,2081,97.21,0.62,1485,847,94.92,5.08,788,41.5,58.5,3.56,96.44,51.71,58.48,37.809999999999995,34.010000000000005,28.169999999999995,57.709999999999994,12.6,82.3
2251,Pope County 9712.00,17151971200,621780849,1887,86.01,11.87,1579,467,89.08,10.92,726,60.47,39.53,1.47,98.53,60.75,74.83,44.08,16.939999999999998,38.99,54.79,13.3,82.5
2252,Pope County 9713.00,17151971300,333581188,2290,97.73,0.66,1806,754,95.76,4.24,892,30.04,69.96,2.84,97.16,59.8,49.87,51.459999999999994,25.9,22.65,55.54,17.0,74.5
2253,Pulaski County 9710.00,17153971000,272179748,2852,78.12,16.51,1962,1108,94.68,5.32,1040,40.87,59.13,4.62,95.38,61.11,46.51,44.610000000000014,31.450000000000003,23.94,59.480000000000004,7.640000000000001,75.2
2254,Pulaski County 9711.00,17153971100,243920867,2562,51.95,46.21,1878,838,91.89,8.11,1010,54.46,45.54,4.69,95.31,56.63,52.84,58.61,28.02,13.37,40.57,12.620000000000001,75.2
2255,Putnam County 9545.00,17155954500,122212034,2824,97.03,0.0,2036,1486,97.38,2.62,1185,35.53,64.47,3.44,96.56,35.25,79.43,31.48,29.54,38.99,47.349999999999994,16.06,83.4
2256,Putnam County 9546.00,17155954600,292437281,2896,95.1,1.14,2169,1437,97.22,2.78,1250,42.08,57.92,2.25,97.75,41.92,77.45,26.56,30.64,42.800000000000004,40.53,19.96,80.2
2257,Randolph County 9505.00,17157950500,177745359,1945,94.09,2.31,1545,852,91.9,8.1,823,46.54,53.46,5.07,94.93,44.72,73.21,41.31,20.17,38.52000000000001,44.72,13.98,76.4
2258,Randolph County 9506.00,17157950600,29353468,4358,74.02,22.99,2891,2400,95.25,4.75,1981,35.94,64.06,10.6,89.4,43.5,58.01,38.57,28.169999999999998,33.260000000000005,45.17,20.89,77.6
2259,Randolph County 9507.00,17157950700,228957930,2781,93.82,3.85,1905,1215,92.76,7.24,1019,43.57,56.43,6.15,93.85,58.43,57.53,42.099999999999994,24.92,32.98,51.81,12.43,79.5
2260,Randolph County 9508.00,17157950800,86740057,4432,98.26,0.0,3104,2245,96.39,3.61,1838,35.85,64.15,2.62,97.38,35.78,79.06,32.21,31.229999999999997,36.56,42.489999999999995,12.27,78.0
2261,Randolph County 9509.00,17157950900,379412844,3288,99.12,0.0,2382,1537,96.68,3.32,1344,43.3,56.7,2.4,97.6,43.34,74.76,32.22,24.479999999999997,43.3,50.0,13.889999999999999,78.7
2262,Randolph County 9510.00,17157951000,364893245,2383,99.92,0.04,1701,1269,95.11,4.89,981,33.23,66.77,4.74,95.26,30.84,86.4,18.66,37.0,44.35,49.09,12.58,79.2
2263,Randolph County 9511.00,17157951100,63164506,3752,92.38,2.88,2446,1688,97.99,2.01,1482,38.06,61.94,4.56,95.44,43.26,68.98,39.41,31.299999999999997,29.28,48.699999999999996,10.92,76.2
2264,Randolph County 9513.00,17157951300,28734788,2969,90.3,0.74,2283,1346,95.17,4.83,1465,42.73,57.27,4.82,95.18,45.23,75.92,34.690000000000005,32.15,33.17,50.86,15.9,75.8
2265,Richland County 9779.00,17159977900,410742689,3695,98.59,0.19,2715,1894,98.57,1.43,1589,34.74,65.26,5.98,94.02,42.49,67.52,31.769999999999996,29.21,39.01,37.75,24.830000000000002,80.2
2266,Richland County 9780.00,17159978000,7491041,1647,96.3,0.18,1078,630,89.37,10.63,787,45.24,54.76,0.0,100.0,73.71,36.25,59.709999999999994,33.8,6.48,49.72,8.72,74.5
2267,Richland County 9781.00,17159978100,4926780,4367,94.21,0.02,2948,2057,95.53,4.47,1681,41.46,58.54,1.3,98.7,43.49,68.43,38.690000000000005,23.259999999999998,38.07,37.55,25.240000000000002,75.7
2268,Richland County 9782.00,17159978200,3827858,2907,92.05,3.06,2017,1575,91.24,8.76,1223,31.56,68.44,4.47,95.53,44.78,70.63,38.76,17.09,44.15,37.68,16.02,77.1
2269,Richland County 9783.00,17159978300,505495730,3061,97.75,0.0,2210,1592,97.36,2.64,1247,40.1,59.9,4.31,95.69,38.94,74.19,27.03,33.44,39.540000000000006,33.62,16.97,81.7
2270,Rock Island County 0202.00,17161020200,28702098,3442,81.09,11.85,2415,1752,89.1,10.9,1560,30.64,69.36,6.05,93.95,49.13,60.88,46.970000000000006,28.39,24.61,44.18,14.5,81.8
2271,Rock Island County 0204.00,17161020400,29369261,6471,67.44,21.5,4675,2570,95.29,4.71,2152,28.62,71.38,5.92,94.08,37.62,69.92,28.72,28.900000000000002,42.370000000000005,48.56,16.999999999999996,79.9
2272,Rock Island County 0206.00,17161020600,4987423,2199,75.53,8.64,1370,978,91.41,8.59,859,24.68,75.32,11.64,88.36,37.92,61.29,40.75,30.61,28.64,63.21,8.4,75.6
2273,Rock Island County 0207.00,17161020700,655648,1441,66.76,14.16,895,713,94.81,5.19,643,17.73,82.27,8.26,91.74,49.83,51.35,53.18000000000001,26.129999999999995,20.689999999999998,50.62,11.389999999999999,75.6
2274,Rock Island County 0208.00,17161020800,4577865,4891,85.36,4.05,3254,2322,95.09,4.91,1978,33.62,66.38,3.8,96.2,43.24,69.6,25.64,37.81999999999999,36.57,41.150000000000006,21.150000000000002,80.0
2275,Rock Island County 0209.00,17161020900,3572378,5197,74.06,9.22,3565,2635,94.91,5.09,2094,31.52,68.48,8.47,91.53,40.73,65.93,36.4,32.85,30.75,36.5,25.52,79.9
2276,Rock Island County 0210.00,17161021000,2588831,3744,66.32,19.5,2446,1832,93.67,6.33,1704,32.04,67.96,7.9,92.1,45.27,60.48,44.25,26.759999999999998,29.0,41.54,28.58,81.9
2277,Rock Island County 0211.00,17161021100,9615541,3789,78.94,8.47,2876,1588,96.47,3.53,1728,39.76,60.24,5.1,94.9,47.6,73.33,30.84,23.96,45.19,43.28,22.880000000000003,75.9
2278,Rock Island County 0212.00,17161021200,3649668,4048,81.92,3.14,3240,2049,100.0,0.0,2006,35.24,64.76,2.43,97.57,35.19,82.59,34.290000000000006,20.89,44.82000000000001,23.09,41.38,77.4
2279,Rock Island County 0213.00,17161021300,3867022,5137,61.4,26.2,3456,2399,88.41,11.59,2268,32.05,67.95,13.02,86.98,44.92,66.52,45.46,29.8,24.740000000000002,40.8,23.29,79.0
2280,Rock Island County 0214.00,17161021400,1190316,1250,76.32,15.6,850,647,92.74,7.26,551,33.03,66.97,5.52,94.48,39.92,67.2,40.82,33.75,25.41,38.12,12.94,77.6
2281,Rock Island County 0215.00,17161021500,3316794,4314,88.76,1.0,3318,2364,97.55,2.45,1983,34.04,65.96,4.01,95.99,35.86,76.89,25.969999999999995,24.97,49.07,32.12,24.53,80.8
2282,Rock Island County 0216.00,17161021600,1219395,2492,78.41,6.14,1422,1390,95.9,4.1,975,16.82,83.18,4.45,95.55,33.95,67.98,40.0,30.259999999999998,29.75,43.18,24.06,75.5
2283,Rock Island County 0217.00,17161021700,1672155,3760,79.95,4.92,2439,2083,94.38,5.62,1449,27.81,72.19,6.6,93.4,41.73,62.07,52.72,17.73,29.54,41.12,26.169999999999998,79.0
2284,Rock Island County 0218.00,17161021800,4908556,4744,87.35,6.83,3272,2695,93.36,6.64,1989,32.93,67.07,1.6,98.4,33.98,86.93,19.1,27.509999999999998,53.4,29.86,28.79,83.7
2285,Rock Island County 0219.00,17161021900,5215423,1393,91.6,3.73,1085,565,93.98,6.02,796,51.88,48.12,4.71,95.29,54.41,58.97,54.769999999999996,30.15,15.08,51.52,18.81,76.6
2286,Rock Island County 0220.00,17161022000,2996003,3723,84.61,4.3,2651,1859,97.96,2.04,1598,37.86,62.14,3.22,96.78,31.64,81.25,23.97,16.52,59.50999999999999,25.27,39.08,81.8
2287,Rock Island County 0222.00,17161022200,1798492,3620,79.23,5.41,2369,1770,92.66,7.34,1300,23.38,76.62,7.04,92.96,38.92,63.62,42.29999999999999,34.089999999999996,23.62,51.2,17.56,77.2
2288,Rock Island County 0223.00,17161022300,2665330,2039,65.91,12.65,1204,1147,89.97,10.03,855,18.01,81.99,13.34,86.66,54.93,43.89,60.81999999999999,26.2,12.99,51.989999999999995,22.259999999999998,77.2
2289,Rock Island County 0226.00,17161022600,2376370,2332,49.79,40.01,1735,905,86.96,13.04,1148,35.37,64.63,5.13,94.87,62.65,41.5,70.22000000000001,20.38,9.41,59.480000000000004,12.39,72.1
2290,Rock Island County 0228.00,17161022800,2103943,5446,81.05,5.18,2075,3016,96.25,3.75,1500,28.13,71.87,4.67,95.33,26.27,78.27,52.68,27.67,19.65,39.32,16.53,76.7
2291,Rock Island County 0229.00,17161022900,1311568,2635,87.74,4.4,1798,1475,96.27,3.73,1120,26.7,73.3,6.53,93.47,30.7,73.7,32.41,27.86,39.730000000000004,34.699999999999996,31.92,77.7
2292,Rock Island County 0230.00,17161023000,4680875,3513,89.21,4.38,2716,1924,99.12,0.88,1653,35.81,64.19,6.03,93.97,34.3,81.3,14.649999999999999,37.27,48.089999999999996,22.900000000000002,37.85,83.5
2293,Rock Island County 0231.00,17161023100,3496625,2645,77.05,0.98,1996,1296,87.58,12.42,1097,37.28,62.72,3.48,96.52,34.9,79.58,18.159999999999997,39.75,42.120000000000005,30.06,22.05,83.2
2294,Rock Island County 0232.00,17161023200,3216994,5070,81.24,12.92,3658,2579,94.96,5.04,2404,32.2,67.8,6.9,93.1,36.43,75.68,35.81,30.9,33.269999999999996,30.259999999999998,26.66,74.8
2295,Rock Island County 0233.00,17161023300,1621796,3419,68.15,10.44,2087,1979,91.41,8.59,1352,20.12,79.88,4.07,95.93,42.0,63.18,41.78,26.77,31.42,42.5,22.61,73.8
2296,Rock Island County 0235.00,17161023500,889962,2260,35.62,51.19,1389,848,86.67,13.33,742,25.61,74.39,6.95,93.05,67.3,34.34,45.0,31.53,23.450000000000003,56.08,15.55,75.4
2297,Rock Island County 0236.00,17161023600,1077807,1810,14.81,68.95,901,583,75.81,24.19,651,33.33,66.67,5.97,94.03,73.98,29.23,64.67,25.19,10.129999999999999,68.59,8.99,76.4
2298,Rock Island County 0237.00,17161023700,2765954,2262,44.39,40.19,1523,1018,96.76,3.24,966,36.34,63.66,6.37,93.63,63.44,48.54,43.879999999999995,37.790000000000006,18.330000000000002,60.47,6.04,75.7
2299,Rock Island County 0240.00,17161024000,23167384,4215,97.86,0.71,3321,2144,98.18,1.82,1854,37.27,62.73,4.87,95.13,31.27,81.29,26.909999999999997,23.24,49.84,36.1,33.12,77.8
2300,Rock Island County 0241.01,17161024101,130645588,3980,94.27,0.28,2958,2061,94.32,5.68,1523,43.07,56.93,4.43,95.57,37.31,76.8,15.22,21.009999999999998,63.760000000000005,28.16,32.150000000000006,78.8
2301,Rock Island County 0241.02,17161024102,93177099,4770,85.58,8.53,3476,2531,96.37,3.63,2144,32.09,67.91,2.75,97.25,42.79,72.64,27.48,29.86,42.68,46.370000000000005,14.84,80.9
2302,Rock Island County 0241.03,17161024103,382772159,3634,96.42,0.0,2676,1870,98.29,1.71,1525,33.05,66.95,1.76,98.24,32.14,83.49,19.990000000000002,25.770000000000003,54.22,42.120000000000005,21.37,81.1
2303,Rock Island County 0242.00,17161024200,10343964,4266,87.62,5.09,3077,2310,97.49,2.51,2149,30.9,69.1,3.05,96.95,38.21,72.43,25.83,31.880000000000003,42.300000000000004,41.339999999999996,22.45,79.0
2304,Rock Island County 0243.00,17161024300,25304229,2221,94.46,2.21,1860,1244,95.5,4.5,1378,43.03,56.97,9.34,90.66,47.62,60.86,47.32,26.71,25.99,44.35,12.15,75.9
2305,Rock Island County 0244.00,17161024400,2777653,1786,48.21,34.32,1267,881,84.45,15.55,953,20.15,79.85,14.11,85.89,53.92,39.25,65.8,23.4,10.8,54.54,9.7,73.7
